Year,Export Amount,Export Value
2012,17.8,مليون دولار
2013,12.6,مليون دولار
2014,15.1,مليون دولار
2015,14.5,مليون دولار
2016,11.7,مليون دولار
2017,18.1,مليون دولار
2018,14.2,مليون دولار
2019,30.5,مليون دولار
2020,9.9,مليون دولار
2021,16.4,مليون دولار
2022,3.2,مليون دولار
