Year,Export Amount,Export Value
2012,1.2,مليون دولار
2013,2.5,مليون دولار
2014,175.0,ألف دولار
2015,294.6,ألف دولار
2016,399.2,ألف دولار
2017,0.0,
2018,0.0,
2019,0.0,
2020,0.0,
2021,84.1,ألف دولار
2022,133.2,ألف دولار
