Year,Export Amount,Export Value
2012,686.2,ألف دولار
2013,839.2,ألف دولار
2014,1.3,مليون دولار
2015,958.0,ألف دولار
2016,424.9,ألف دولار
2017,225.4,ألف دولار
2018,368.1,ألف دولار
2019,389.5,ألف دولار
2020,267.0,ألف دولار
2021,951.1,ألف دولار
2022,432.0,ألف دولار
