Year,Export Amount,Export Value
2012,30.0,مليون دولار
2013,37.8,مليون دولار
2014,37.5,مليون دولار
2015,41.8,مليون دولار
2016,36.3,مليون دولار
2017,56.9,مليون دولار
2018,52.3,مليون دولار
2019,44.9,مليون دولار
2020,49.4,مليون دولار
2021,139.2,مليون دولار
2022,23.4,مليون دولار
