Year,Export Amount,Export Value
2012,37.8,مليون دولار
2013,53.4,مليون دولار
2014,57.1,مليون دولار
2015,45.1,مليون دولار
2016,44.3,مليون دولار
2017,74.3,مليون دولار
2018,58.3,مليون دولار
2019,188.3,مليون دولار
2020,167.5,مليون دولار
2021,403.5,مليون دولار
2022,64.1,مليون دولار
