Year,Export Amount,Export Value
2012,869.6,ألف دولار
2013,704.3,ألف دولار
2014,1.7,مليون دولار
2015,1.3,مليون دولار
2016,1.0,مليون دولار
2017,968.6,ألف دولار
2018,1.1,مليون دولار
2019,1.4,مليون دولار
2020,955.3,ألف دولار
2021,2.9,مليون دولار
2022,186.8,ألف دولار
