Year,Export Amount,Export Value
2012,122.6,ألف دولار
2013,411.3,ألف دولار
2014,470.9,ألف دولار
2015,367.3,ألف دولار
2016,2.3,مليون دولار
2017,326.4,ألف دولار
2018,143.1,ألف دولار
2019,251.4,ألف دولار
2020,403.9,ألف دولار
2021,909.4,ألف دولار
2022,94.7,ألف دولار
