Year,Export Amount,Export Value
2012,540.1,مليون دولار
2013,312.9,مليون دولار
2014,136.2,مليون دولار
2015,118.7,مليون دولار
2016,226.4,مليون دولار
2017,113.8,مليون دولار
2018,97.4,مليون دولار
2019,83.3,مليون دولار
2020,73.5,مليون دولار
2021,122.0,مليون دولار
2022,13.8,مليون دولار
