Year,Export Amount,Export Value
2012,92.9,ألف دولار
2013,54.8,ألف دولار
2014,39.5,ألف دولار
2015,1.8,مليون دولار
2016,732.7,ألف دولار
2017,2.1,مليون دولار
2018,2.8,مليون دولار
2019,1.4,مليون دولار
2020,420.5,ألف دولار
2021,2.7,مليون دولار
2022,25.1,ألف دولار
