Year,Export Amount,Export Value
2012,156.1,ألف دولار
2013,86.1,ألف دولار
2014,399.5,ألف دولار
2015,230.8,ألف دولار
2016,175.2,ألف دولار
2017,173.6,ألف دولار
2018,674.9,ألف دولار
2019,966.4,ألف دولار
2020,609.1,ألف دولار
2021,5.4,مليون دولار
2022,530.7,ألف دولار
