Year,Export Amount,Export Value
2012,605.0,ألف دولار
2013,142.3,ألف دولار
2014,1.6,مليون دولار
2015,0.6,ألف دولار
2016,116.3,ألف دولار
2017,86.7,ألف دولار
2018,73.8,ألف دولار
2019,143.9,ألف دولار
2020,212.1,ألف دولار
2021,91.3,ألف دولار
2022,11.6,ألف دولار
