Year,Export Amount,Export Value
2012,7.7,مليون دولار
2013,9.6,مليون دولار
2014,8.4,مليون دولار
2015,8.6,مليون دولار
2016,6.3,مليون دولار
2017,14.1,مليون دولار
2018,10.6,مليون دولار
2019,7.5,مليون دولار
2020,9.9,مليون دولار
2021,12.9,مليون دولار
2022,1.6,مليون دولار
