Year,Export Amount,Export Value
2012,476.6,مليون دولار
2013,550.2,مليون دولار
2014,524.5,مليون دولار
2015,495.4,مليون دولار
2016,54.8,مليون دولار
2017,95.1,مليون دولار
2018,73.3,مليون دولار
2019,605.2,مليون دولار
2020,697.2,مليون دولار
2021,784.7,مليون دولار
2022,128.3,مليون دولار
