Year,Export Amount,Export Value
2012,9.6,ألف دولار
2013,192.5,ألف دولار
2014,784.5,ألف دولار
2015,817.4,ألف دولار
2016,355.2,ألف دولار
2017,607.3,ألف دولار
2018,594.8,ألف دولار
2019,1.3,مليون دولار
2020,1.5,مليون دولار
2021,2.4,مليون دولار
2022,629.6,ألف دولار
