Year,Export Amount,Export Value
2012,260.3,مليون دولار
2013,246.6,مليون دولار
2014,247.9,مليون دولار
2015,162.2,مليون دولار
2016,225.4,مليون دولار
2017,295.6,مليون دولار
2018,278.5,مليون دولار
2019,383.4,مليون دولار
2020,317.5,مليون دولار
2021,326.9,مليون دولار
2022,48.3,مليون دولار
