Year,Export Amount,Export Value
2012,20.4,مليون دولار
2013,6.4,مليون دولار
2014,2.5,مليون دولار
2015,2.5,مليون دولار
2016,7.2,مليون دولار
2017,22.7,مليون دولار
2018,26.0,مليون دولار
2019,13.0,مليون دولار
2020,29.6,مليون دولار
2021,36.5,مليون دولار
2022,438.1,ألف دولار
