Year,Export Amount,Export Value
2012,765.7,مليون دولار
2013,582.8,مليون دولار
2014,589.2,مليون دولار
2015,455.0,مليون دولار
2016,496.3,مليون دولار
2017,976.2,مليون دولار
2018,757.6,مليون دولار
2019,871.3,مليون دولار
2020,768.5,مليون دولار
2021,1.8,مليار دولار
2022,461.9,مليون دولار
