Year,Export Amount,Export Value
2012,33.9,مليون دولار
2013,29.3,مليون دولار
2014,41.9,مليون دولار
2015,25.5,مليون دولار
2016,28.2,مليون دولار
2017,31.2,مليون دولار
2018,32.7,مليون دولار
2019,37.4,مليون دولار
2020,34.1,مليون دولار
2021,65.3,مليون دولار
2022,17.6,مليون دولار
