Item,Amount,Value
مستلزمات أخرى من أنواع البلاستيك الأخرى,411.8,ألف دولار
محضرات متجانسه لاغذيه الاطفال,403.7,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,399.0,ألف دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",396.0,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,391.1,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,385.9,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,378.4,ألف دولار
فاكهه أخرى طازجه,376.1,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,373.2,ألف دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,367.6,ألف دولار
اجزاء للاثاث,364.0,ألف دولار
غيرها من خزانات ودنان وبراميل وصفائح من حديد او صلب سعتها اقل من 50 لتر,360.8,ألف دولار
ملايات قطن مطبوعة,357.9,ألف دولار
زيت ذره مكرر,357.0,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,351.3,ألف دولار
مخلفات صناعات البنجر,345.0,ألف دولار
خضروات بقليه اخرى,337.1,ألف دولار
زيوت عطرية مركزة فى شكل عجائن عطرية,336.5,ألف دولار
جريب فروت طازج أو مجفف,331.3,ألف دولار
طقم رجالى من الياف صناعيه غير مصنره,322.1,ألف دولار
لبن بودره غير محلى,305.3,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,303.2,ألف دولار
عجائن البوليثرين متنوعه,302.7,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,299.5,ألف دولار
اطقم حمامات / بياضات متنوعه,290.7,ألف دولار
قدد من الالومنيوم مستطيلة الشكل,285.7,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,279.7,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,278.7,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,277.8,ألف دولار
ورنيشات قاعدتها بولى استر,276.0,ألف دولار
انابيب ومواسير سيراميك اقطار صغيرة و متوسطة,273.8,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,272.9,ألف دولار
عصير البرتقال,271.4,ألف دولار
بن محمص اومطحون,271.1,ألف دولار
اسلاك نحاس معزوله بالبلاستيك والقطن أو بالحرير الزجاجى,268.9,ألف دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,268.2,ألف دولار
غيرها من المربى,257.4,ألف دولار
حساء ومرق ومحضرات (شوربه),256.4,ألف دولار
ادوات جلى وقفازات من النحاس,255.0,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,250.2,ألف دولار
قضبان و عيدان حديد صلب,250.0,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اقل من 0.5مم,247.9,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,247.5,ألف دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,244.6,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,243.4,ألف دولار
اقمشه مزوده من نسيج اخرى,240.7,ألف دولار
بدائل ركفورد),235.0,ألف دولار
اعلاف حيوانيه غير تقليديه,234.7,ألف دولار
بن غير محمص,232.6,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,229.0,ألف دولار
ازهار وبراعم ازهار مقطوفه اخرى طازجه للباقات,227.7,ألف دولار
اقمشة تويل قطن خام أكثر من 85% قطن من200 جرام غير مبيضه,225.6,ألف دولار
رماد ومخلفات صناعه الحديد والصلب يحتوى على الزنك,224.8,ألف دولار
خليط من مكسبات الطعم و الرائحه,222.0,ألف دولار
عصير خليط,220.6,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,211.0,ألف دولار
بودره بولي ايثلين P.E.T,209.3,ألف دولار
نجف و ثرايا كريستال و غيرها,208.8,ألف دولار
اجزاء الات تكييف الهواء شباك او حائط,208.0,ألف دولار
إطارات السيارات النقل و الشاحنات,204.4,ألف دولار
أجزاء خلايا اولية وبطاريات أخرى,199.2,ألف دولار
سحلب مطحون,196.6,ألف دولار
غيرها من الفراجين (مماسح وفرش للارضيه) و الميكانيكيه منها,194.2,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),194.2,ألف دولار
مفاتيح عزل كهربى يزيد عن 1000 فولت,194.2,ألف دولار
كمون مطحون معبأ,191.9,ألف دولار
بطاطين مخلوطة قطن على الياف / شعبية,191.9,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,190.5,ألف دولار
حمص مجفف ومعبأ,187.8,ألف دولار
ايس كريم بودرة,186.1,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,185.2,ألف دولار
شيكولاته ساده,182.6,ألف دولار
الات لتحضير اللحوم او الدواجن,181.8,ألف دولار
أدوات التواليت و المنزل من أنواع البلاستيك الأخرى,175.9,ألف دولار
سيليكات صوديوم أخر,174.7,ألف دولار
حليات خشبيه بلاستيكيه,174.4,ألف دولار
لوحات توزيع كهرباء بدون تحديد,172.1,ألف دولار
وصلات و كيعان و فلانشات لمواسير,170.6,ألف دولار
ابواب ونوافذ واطرها من الالومنيوم,169.2,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,167.8,ألف دولار
بوليستر أولى,165.2,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من قطن للرجال والصبيه,163.5,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),162.8,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,158.4,ألف دولار
صلصات ومحضرات مماثله اخرى,156.7,ألف دولار
,156.1,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,151.8,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),150.9,ألف دولار
قرنبيــط,146.0,ألف دولار
مخلفات هبو مصانع النسيج,143.1,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,140.8,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,137.1,ألف دولار
أحجار طبيعيه للمبانى من الجرانيت,137.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,136.1,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن غير مصنره,135.7,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,132.8,ألف دولار
لبان بلـــدى,131.2,ألف دولار
غيرها من لوازم المواسير والانابيب من حديد او صلب,130.4,ألف دولار
كرنب أفرنجى و بروكلى طازج,130.3,ألف دولار
طفــله بدون تحديــد (طينات اخرى),129.2,ألف دولار
مرايا الرؤيه الخلفيه للسيارات,128.4,ألف دولار
توســت أو خبز محمص,126.1,ألف دولار
صناديق و حاويات من البلاستيك,124.9,ألف دولار
عسل فركتوز,124.5,ألف دولار
ملايات و مفارش سرير قطن,116.5,ألف دولار
مستحضرات للاستعمال قبل او اثناء او بعد الحلاقة,114.9,ألف دولار
بطاريات ثانى اكسيد المنجنيز,114.8,ألف دولار
ملايات السرير أخرى,113.0,ألف دولار
"غيرها من أجزاء ثلاجات , مجمدات , ثلاجات منزلى وديب فريزر",111.6,ألف دولار
أدوات و مستلزمات البناء الأخرى من أنواع البلاستيك الأخرى,110.4,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,107.1,ألف دولار
شباك من خشب,106.2,ألف دولار
ألواح حديد كروم مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,103.7,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,103.0,ألف دولار
اثاث خشبى من النوع المستخدم فى المكاتب,103.0,ألف دولار
ألعاب و مستلزمات الإحتفالات,100.8,ألف دولار
فاصوليا مجمده,100.6,ألف دولار
أجزاء غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,100.6,ألف دولار
الاجهزةالكهربائية للانارة والاشارة أخرى,100.2,ألف دولار
صودا كاويه,99.8,ألف دولار
خضروات مجمدة او مبردة,99.2,ألف دولار
ذرة أخرى,98.2,ألف دولار
مولاس قصب السكر و عسل اسود,98.0,ألف دولار
اجزاء ولوازم سيارات اخرى,97.8,ألف دولار
وصلات واكواع وجلب,97.3,ألف دولار
اقمشة منسوجة من خيوط معدنيةواقمشة من خيوط ممعدنه ? كلف وشرائط بالقصب,96.7,ألف دولار
بولىفينيل اسيتات سائل,96.1,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),95.5,ألف دولار
,95.4,ألف دولار
غيرها من مقطورات وشبه مقطورات لنقل البضائع,94.2,ألف دولار
أسلاك من الصلب الذى لا يصدأ,94.1,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",91.9,ألف دولار
أسلاك من سبائك صلب,91.5,ألف دولار
فوط صحيه من الياف صناعيه,90.5,ألف دولار
فوط سفرة / بياضات قطن,90.1,ألف دولار
بذور عباد الشمس وان كانت مفتته,87.3,ألف دولار
خلاصات اوارواح او مركزات من شاى,86.2,ألف دولار
خلاصات اوارواح او مركزات من بدائل البن,86.2,ألف دولار
امصال الطب البيطرى,85.9,ألف دولار
"انابيب,مواسير وخراطيم, صلبة, غير قابلة للثنى من بوليميرات البروبيلين",84.7,ألف دولار
اثاث من لدائن اصطناعيه,82.6,ألف دولار
مواد تشطيب و صباغه للورق,81.9,ألف دولار
خس طازج,80.5,ألف دولار
وبريات / فوط وبشاكير من القطن غير مبيضه,78.5,ألف دولار
"اجزاء اخرى للروافع الاخرى , الات للمناولة للتحميل او التفريغ",76.2,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",74.2,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),72.1,ألف دولار
باترونات من المنسوجات,70.8,ألف دولار
سبانخ مجمده,70.6,ألف دولار
خيوط من ألياف البوليبروبلين المستمر مسرح أو ممشط,69.3,ألف دولار
راتنجات يوريا,67.5,ألف دولار
انواع اخرى من السكر بما فى ذلك سكر مخلوط 50% جلوكوز و50% فركتوز,64.5,ألف دولار
سلك اسوار,63.8,ألف دولار
عصصارات الفواكه والخضروات,63.7,ألف دولار
مواسير و أنابيب من الحديد للتقاطعات ملحومه طوليا,63.7,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,63.7,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,63.1,ألف دولار
برتقال),63.0,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,62.6,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,62.1,ألف دولار
بيوتا 1 و 3,61.6,ألف دولار
أخشاب للوقود,61.5,ألف دولار
ملفات صندوقية /اكلاسيرات صندوقيه,61.3,ألف دولار
آلات تشغيل المواد برؤوس متعدده,59.8,ألف دولار
عجائن طباعه شفافه,59.8,ألف دولار
قفازات و مستلزمات الملابس من أنواع البلاستيك الأخرى,58.8,ألف دولار
راتنجات ميلامين,58.3,ألف دولار
آلات ضفر  و صناعة الأسلاك,58.2,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,58.0,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,57.7,ألف دولار
أفوكادو طازج أو جاف,56.9,ألف دولار
أقمشه تحتوى على أقل من 85% الياف صناعيه مستمره مخلوطه بالقطن مبيضه أو غير مبيضه أقل من 170 جم أخرى,55.6,ألف دولار
فوتيه,55.1,ألف دولار
غزل جوت متعدد مسرح,53.9,ألف دولار
اغلفة كتب وورق نشاف و غيرها من الادوات المكتبية/ادوات مكتبيه,53.6,ألف دولار
فضلات الجوت,52.2,ألف دولار
بذور خضروات اخرى للزراعه,52.0,ألف دولار
وبريات / فوط وبشاكير من القطن,51.2,ألف دولار
مواد مطهره,50.1,ألف دولار
اجزاء مقطورات وشبه مقطورات وعربات اخرى بدون دفع ذاتى واجزاؤها,50.0,ألف دولار
أجزاء دوائر منكامله الكترونيه أخرى,49.9,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن مصنوعه يدويا,49.7,ألف دولار
ورق المونيوم على حامل مشمع,48.8,ألف دولار
كيماويات الصباغه والطباعه والتجهيز الخاصه بالاقمشه(مواد مساعده للنسيج بشكل عام او دون تحديد),47.1,ألف دولار
مستخلصات جذوع النباتات,45.6,ألف دولار
ماكينه تقطيع رخام يدوى و سيراميك و أحجار أخرى,45.5,ألف دولار
بقوة أكبر من 750 وات,45.1,ألف دولار
بن محمص و منزوع منه الكافيين,44.5,ألف دولار
دفاتر),44.4,ألف دولار
ملابس المطر الخارجيه حريمى بصفة عامه,44.2,ألف دولار
صابون معطر تواليت,44.2,ألف دولار
وحدات تسخين,44.1,ألف دولار
طقم دواسه  و أغطية الأرضيات,43.9,ألف دولار
اجزاء للكراسى,43.6,ألف دولار
سجاد صوف آخر,43.4,ألف دولار
قطن ممشط أو مسرح,43.4,ألف دولار
فرش كنس,42.6,ألف دولار
إيثيل فينيل أسيتات,42.4,ألف دولار
سماد نترات الجير (نترات الكالسيوم),42.4,ألف دولار
غيرها من مصنوعات اخرى من نحاس,41.9,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,41.9,ألف دولار
ذره معبأه للإستهلاك المباشر,41.9,ألف دولار
مخدات وشلت و مرتبة سرير,41.2,ألف دولار
شيكولاته شرب جافه,40.7,ألف دولار
مثاقب للمناجم أوتوماتيكيه,40.0,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,39.8,ألف دولار
أجزاء آلات درفلة المعادن على الساخن و البارد معا,39.6,ألف دولار
مسحوق كاكاو مضاف الى محتواه سكر,38.9,ألف دولار
بهارات اخرى,38.8,ألف دولار
فلتر هواء سياره,38.5,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,38.4,ألف دولار
وخشب حبيبى بطبقة خارجيه واحدة على الأقل أقل من 6و مم,38.3,ألف دولار
آلات كبس و خرم لشغل المعادن,38.0,ألف دولار
انواع أخرى من اسمنت بورتلاند (حديدى و مخلوط),38.0,ألف دولار
غيرها من انواع الغراء واللواصق,36.5,ألف دولار
كفيات و تلافيح من أنسجه مختلفه,36.1,ألف دولار
بسله مجمده,36.0,ألف دولار
قصب سكر,36.0,ألف دولار
حشايا مراتب من مطاط خلوى اولدائن اصطناعية مكسوة اوغير مكسوه ? مراتب اثاث من الاسفنج الصناعى,35.4,ألف دولار
غلايات و مولدات بخار,35.0,ألف دولار
شمع برافين,34.0,ألف دولار
ملح غير صالح للطعام و ملح طعام,33.8,ألف دولار
جوز أخرى طازج او مجفف بقشرةاو بدون قشر,32.6,ألف دولار
الاسمنت ?  الملاط ?  المحضرات المماثله المتحمله للحرارة,32.5,ألف دولار
توابل بشكل مخاليط (بهارات),31.9,ألف دولار
من خزف,31.8,ألف دولار
شمام طازج ما عدا البطيخ,31.8,ألف دولار
,31.6,ألف دولار
مخلفات أنوال و هبو مصانع نسيج الألياف الأخرى,31.1,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,30.4,ألف دولار
صناديق و علب خشب و اقفاص للتعبئه من خشب,29.7,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,29.7,ألف دولار
,29.3,ألف دولار
طوب للبناء بما فيها بلاط التبليط من السيراميك وما يماثلها,29.0,ألف دولار
ثـــوم طازج أو مثلج,27.9,ألف دولار
تماثيل أخرى وببلوهات من اصناف الزينه,27.8,ألف دولار
أجزاء أخرى لأجهزة طبيه للأشعه السينيه,27.6,ألف دولار
قطن غير ممشط أو مسرح,27.6,ألف دولار
خلاصات او ارواح او مركزات من بن,26.6,ألف دولار
استياتيت طبيعى مجروش او مطحون,26.5,ألف دولار
منتجات حيوانيه اخرى منهاالميته فى فصل3 ?  1ليست للاكل,25.9,ألف دولار
خيوط أو غزل من الألياف الصناعية متعدد,25.8,ألف دولار
امواس و شفرات للحلاقه,25.7,ألف دولار
غزل قطن مفرد أكثر من 85% قطن غير ممشط (29و714) (56و232)غير مهييء للبيع بالتجزئه,25.5,ألف دولار
لوحات دعايه ولوحات اسماء مضيئه ومايماثلها,25.0,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),24.8,ألف دولار
سيارات ركوب سعة محركها من 1500 سم إلى 3000 سم,24.1,ألف دولار
فراوله محلاه فى محلول سكرى,23.6,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,23.4,ألف دولار
إكسسوارات الأثاث من أنواع البلاستيك الأخرى,23.2,ألف دولار
أحماض دهنيه للصناعه ?  زيوت حمضيه ناتجه عن التكرير,23.0,ألف دولار
راتنجات ايبوكسيد,22.8,ألف دولار
مولاس قصب السكر و عسل اسود,22.6,ألف دولار
اثاث مصمم لاستيعاب الثلاجات او معدات التجميداو هيكل معدنى خاص بالثلاجات,22.4,ألف دولار
