Year,Export Amount,Export Value
2012,2.0,مليار دولار
2013,2.0,مليار دولار
2014,2.1,مليار دولار
2015,2.0,مليار دولار
2016,1.8,مليار دولار
2017,1.8,مليار دولار
2018,1.4,مليار دولار
2019,1.6,مليار دولار
2020,1.6,مليار دولار
2021,2.1,مليار دولار
2022,384.0,مليون دولار
