Year,Export Amount,Export Value
2012,618.5,مليون دولار
2013,615.7,مليون دولار
2014,651.5,مليون دولار
2015,525.1,مليون دولار
2016,536.9,مليون دولار
2017,729.6,مليون دولار
2018,642.3,مليون دولار
2019,609.7,مليون دولار
2020,606.3,مليون دولار
2021,800.0,مليون دولار
2022,144.2,مليون دولار
