Year,Export Amount,Export Value
2012,691.2,ألف دولار
2013,734.3,ألف دولار
2014,1.4,مليون دولار
2015,640.4,ألف دولار
2016,868.5,ألف دولار
2017,1.1,مليون دولار
2018,1.2,مليون دولار
2019,1.1,مليون دولار
2020,1.3,مليون دولار
2021,1.5,مليون دولار
2022,265.9,ألف دولار
