Year,Export Amount,Export Value
2012,6.3,مليون دولار
2013,6.2,مليون دولار
2014,6.9,مليون دولار
2015,8.7,مليون دولار
2016,4.1,مليون دولار
2017,9.7,مليون دولار
2018,4.4,مليون دولار
2019,14.3,مليون دولار
2020,4.2,مليون دولار
2021,6.8,مليون دولار
2022,1.0,مليون دولار
