Year,Export Amount,Export Value
2012,2.5,مليون دولار
2013,3.6,مليون دولار
2014,3.3,مليون دولار
2015,3.4,مليون دولار
2016,3.9,مليون دولار
2017,4.5,مليون دولار
2018,3.7,مليون دولار
2019,3.7,مليون دولار
2020,3.0,مليون دولار
2021,3.4,مليون دولار
2022,905.7,ألف دولار
