Year,Export Amount,Export Value
2012,4.2,مليون دولار
2013,4.0,مليون دولار
2014,2.6,مليون دولار
2015,3.5,مليون دولار
2016,2.5,مليون دولار
2017,3.7,مليون دولار
2018,3.8,مليون دولار
2019,5.9,مليون دولار
2020,5.1,مليون دولار
2021,6.9,مليون دولار
2022,274.4,ألف دولار
