Year,Export Amount,Export Value
2012,10.4,مليون دولار
2013,11.7,مليون دولار
2014,12.7,مليون دولار
2015,18.5,مليون دولار
2016,21.1,مليون دولار
2017,23.8,مليون دولار
2018,33.7,مليون دولار
2019,20.8,مليون دولار
2020,38.5,مليون دولار
2021,39.6,مليون دولار
2022,9.2,مليون دولار
