Year,Export Amount,Export Value
2012,4.1,ألف دولار
2013,443.9,ألف دولار
2014,203.6,ألف دولار
2015,0.0,
2016,17.7,ألف دولار
2017,72.4,ألف دولار
2018,0.2,ألف دولار
2019,0.0,
2020,1.0,ألف دولار
2021,31.7,ألف دولار
2022,69.5,ألف دولار
