Year,Export Amount,Export Value
2012,6.1,مليون دولار
2013,3.2,مليون دولار
2014,2.6,مليون دولار
2015,1.7,مليون دولار
2016,5.1,مليون دولار
2017,3.3,مليون دولار
2018,3.9,مليون دولار
2019,4.1,مليون دولار
2020,10.4,مليون دولار
2021,8.5,مليون دولار
2022,1.3,مليون دولار
