Year,Export Amount,Export Value
2012,7.1,مليون دولار
2013,9.6,مليون دولار
2014,10.3,مليون دولار
2015,7.6,مليون دولار
2016,4.7,مليون دولار
2017,5.9,مليون دولار
2018,4.9,مليون دولار
2019,5.3,مليون دولار
2020,6.1,مليون دولار
2021,6.4,مليون دولار
2022,1.9,مليون دولار
