Year,Export Amount,Export Value
2012,1.5,مليار دولار
2013,1.3,مليار دولار
2014,1.0,مليار دولار
2015,574.2,مليون دولار
2016,546.9,مليون دولار
2017,475.4,مليون دولار
2018,580.8,مليون دولار
2019,798.1,مليون دولار
2020,564.5,مليون دولار
2021,887.1,مليون دولار
2022,143.8,مليون دولار
