Year,Export Amount,Export Value
2012,37.5,مليون دولار
2013,33.1,مليون دولار
2014,38.4,مليون دولار
2015,25.3,مليون دولار
2016,24.7,مليون دولار
2017,32.2,مليون دولار
2018,28.5,مليون دولار
2019,35.8,مليون دولار
2020,27.4,مليون دولار
2021,41.8,مليون دولار
2022,4.7,مليون دولار
