Year,Export Amount,Export Value
2012,3.1,مليون دولار
2013,3.2,مليون دولار
2014,3.7,مليون دولار
2015,3.1,مليون دولار
2016,3.7,مليون دولار
2017,6.3,مليون دولار
2018,5.4,مليون دولار
2019,7.3,مليون دولار
2020,6.7,مليون دولار
2021,5.0,مليون دولار
2022,510.5,ألف دولار
