Year,Export Amount,Export Value
2012,701.7,ألف دولار
2013,332.2,ألف دولار
2014,871.9,ألف دولار
2015,361.5,ألف دولار
2016,202.1,ألف دولار
2017,1.0,مليون دولار
2018,8.7,مليون دولار
2019,6.6,مليون دولار
2020,3.4,مليون دولار
2021,14.4,مليون دولار
2022,924.5,ألف دولار
