Year,Export Amount,Export Value
2012,565.4,مليون دولار
2013,655.2,مليون دولار
2014,538.3,مليون دولار
2015,472.6,مليون دولار
2016,493.6,مليون دولار
2017,578.5,مليون دولار
2018,505.4,مليون دولار
2019,702.0,مليون دولار
2020,562.4,مليون دولار
2021,683.9,مليون دولار
2022,120.8,مليون دولار
