Year,Export Amount,Export Value
2012,62.3,مليون دولار
2013,45.4,مليون دولار
2014,52.4,مليون دولار
2015,53.2,مليون دولار
2016,65.4,مليون دولار
2017,81.9,مليون دولار
2018,100.1,مليون دولار
2019,103.4,مليون دولار
2020,107.6,مليون دولار
2021,252.9,مليون دولار
2022,32.0,مليون دولار
