Year,Export Amount,Export Value
2012,59.9,مليون دولار
2013,48.1,مليون دولار
2014,62.3,مليون دولار
2015,64.7,مليون دولار
2016,49.7,مليون دولار
2017,62.0,مليون دولار
2018,85.2,مليون دولار
2019,61.6,مليون دولار
2020,65.0,مليون دولار
2021,112.2,مليون دولار
2022,19.0,مليون دولار
