Year,Export Amount,Export Value
2012,1.1,مليون دولار
2013,2.5,مليون دولار
2014,647.4,ألف دولار
2015,654.2,ألف دولار
2016,683.9,ألف دولار
2017,862.8,ألف دولار
2018,820.1,ألف دولار
2019,2.9,مليون دولار
2020,11.6,مليون دولار
2021,2.4,مليون دولار
2022,427.9,ألف دولار
