Year,Export Amount,Export Value
2012,71.7,مليون دولار
2013,90.2,مليون دولار
2014,114.1,مليون دولار
2015,97.9,مليون دولار
2016,118.1,مليون دولار
2017,159.7,مليون دولار
2018,128.5,مليون دولار
2019,153.0,مليون دولار
2020,116.3,مليون دولار
2021,261.9,مليون دولار
2022,80.3,مليون دولار
