Year,Export Amount,Export Value
2012,1.5,مليار دولار
2013,1.2,مليار دولار
2014,1.3,مليار دولار
2015,1.2,مليار دولار
2016,1.1,مليار دولار
2017,2.2,مليار دولار
2018,1.5,مليار دولار
2019,2.1,مليار دولار
2020,1.5,مليار دولار
2021,2.2,مليار دولار
2022,378.9,مليون دولار
