Year,Export Amount,Export Value
2012,354.2,مليون دولار
2013,379.2,مليون دولار
2014,351.0,مليون دولار
2015,232.9,مليون دولار
2016,166.5,مليون دولار
2017,280.6,مليون دولار
2018,366.6,مليون دولار
2019,287.1,مليون دولار
2020,285.3,مليون دولار
2021,310.4,مليون دولار
2022,40.5,مليون دولار
