Year,Export Amount,Export Value
2012,307.4,ألف دولار
2013,34.5,ألف دولار
2014,415.0,ألف دولار
2015,96.7,ألف دولار
2016,121.9,ألف دولار
2017,908.8,ألف دولار
2018,734.4,ألف دولار
2019,919.3,ألف دولار
2020,2.1,مليون دولار
2021,5.0,مليون دولار
2022,807.1,ألف دولار
