Year,Export Amount,Export Value
2012,30.7,مليون دولار
2013,32.7,مليون دولار
2014,27.3,مليون دولار
2015,19.2,مليون دولار
2016,20.9,مليون دولار
2017,36.7,مليون دولار
2018,28.8,مليون دولار
2019,35.7,مليون دولار
2020,23.1,مليون دولار
2021,27.8,مليون دولار
2022,7.3,مليون دولار
