Year,Export Amount,Export Value
2012,48.2,مليون دولار
2013,40.2,مليون دولار
2014,56.2,مليون دولار
2015,43.6,مليون دولار
2016,42.0,مليون دولار
2017,60.0,مليون دولار
2018,76.1,مليون دولار
2019,74.9,مليون دولار
2020,141.8,مليون دولار
2021,444.9,مليون دولار
2022,112.5,مليون دولار
