Year,Export Amount,Export Value
2012,7.3,مليون دولار
2013,6.3,مليون دولار
2014,6.2,مليون دولار
2015,12.6,مليون دولار
2016,17.4,مليون دولار
2017,13.2,مليون دولار
2018,11.9,مليون دولار
2019,12.3,مليون دولار
2020,10.8,مليون دولار
2021,11.8,مليون دولار
2022,996.0,ألف دولار
