Year,Export Amount,Export Value
2012,5.8,مليون دولار
2013,10.9,مليون دولار
2014,6.1,مليون دولار
2015,4.1,مليون دولار
2016,7.1,مليون دولار
2017,16.0,مليون دولار
2018,19.7,مليون دولار
2019,114.3,مليون دولار
2020,178.9,مليون دولار
2021,346.2,مليون دولار
2022,29.2,مليون دولار
