Year,Export Amount,Export Value
2012,262.8,مليون دولار
2013,220.3,مليون دولار
2014,304.8,مليون دولار
2015,298.0,مليون دولار
2016,282.3,مليون دولار
2017,425.5,مليون دولار
2018,7.0,مليون دولار
2019,176.8,ألف دولار
2020,394.0,ألف دولار
2021,3.7,مليون دولار
2022,2.1,مليون دولار
