Year,Export Amount,Export Value
2012,121.1,ألف دولار
2013,122.0,ألف دولار
2014,176.0,ألف دولار
2015,158.0,ألف دولار
2016,251.6,ألف دولار
2017,256.1,ألف دولار
2018,510.8,ألف دولار
2019,477.3,ألف دولار
2020,999.6,ألف دولار
2021,4.5,مليون دولار
2022,36.7,ألف دولار
