Year,Export Amount,Export Value
2012,74.2,مليون دولار
2013,66.6,مليون دولار
2014,51.8,مليون دولار
2015,26.5,مليون دولار
2016,28.5,مليون دولار
2017,45.6,مليون دولار
2018,49.5,مليون دولار
2019,65.3,مليون دولار
2020,62.2,مليون دولار
2021,75.2,مليون دولار
2022,20.3,مليون دولار
