Year,Export Amount,Export Value
2012,481.2,مليون دولار
2013,549.9,مليون دولار
2014,442.5,مليون دولار
2015,540.0,مليون دولار
2016,593.7,مليون دولار
2017,541.4,مليون دولار
2018,372.0,مليون دولار
2019,462.0,مليون دولار
2020,476.7,مليون دولار
2021,767.9,مليون دولار
2022,176.2,مليون دولار
