Year,Export Amount,Export Value
2012,12.8,مليون دولار
2013,27.6,مليون دولار
2014,32.5,مليون دولار
2015,19.1,مليون دولار
2016,17.3,مليون دولار
2017,44.5,مليون دولار
2018,10.1,مليون دولار
2019,14.8,مليون دولار
2020,13.3,مليون دولار
2021,14.0,مليون دولار
2022,3.2,مليون دولار
