Year,Export Amount,Export Value
2012,0.5,ألف دولار
2013,8.6,ألف دولار
2014,0.0,
2015,62.5,ألف دولار
2016,1.6,ألف دولار
2017,0.0,
2018,0.0,
2019,9.0,ألف دولار
2020,59.4,ألف دولار
2021,59.4,ألف دولار
2022,11.2,ألف دولار
