Year,Export Amount,Export Value
2012,236.6,مليون دولار
2013,282.2,مليون دولار
2014,320.7,مليون دولار
2015,409.8,مليون دولار
2016,385.0,مليون دولار
2017,359.1,مليون دولار
2018,265.1,مليون دولار
2019,263.8,مليون دولار
2020,230.9,مليون دولار
2021,281.4,مليون دولار
2022,46.4,مليون دولار
