Year,Export Amount,Export Value
2012,250.5,ألف دولار
2013,191.7,ألف دولار
2014,852.7,ألف دولار
2015,719.7,ألف دولار
2016,1.0,مليون دولار
2017,1.6,مليون دولار
2018,1.3,مليون دولار
2019,1.7,مليون دولار
2020,1.6,مليون دولار
2021,2.0,مليون دولار
2022,338.1,ألف دولار
