Year,Export Amount,Export Value
2012,5.7,مليون دولار
2013,9.2,مليون دولار
2014,7.1,مليون دولار
2015,9.1,مليون دولار
2016,10.6,مليون دولار
2017,17.7,مليون دولار
2018,15.4,مليون دولار
2019,13.2,مليون دولار
2020,19.5,مليون دولار
2021,11.3,مليون دولار
2022,5.7,مليون دولار
