Year,Export Amount,Export Value
2012,3.5,مليون دولار
2013,2.2,مليون دولار
2014,3.1,مليون دولار
2015,2.7,مليون دولار
2016,1.8,مليون دولار
2017,3.1,مليون دولار
2018,2.9,مليون دولار
2019,2.0,مليون دولار
2020,4.2,مليون دولار
2021,5.0,مليون دولار
2022,1.3,مليون دولار
