Year,Export Amount,Export Value
2012,1.3,مليار دولار
2013,1.4,مليار دولار
2014,1.6,مليار دولار
2015,1.1,مليار دولار
2016,1.1,مليار دولار
2017,1.5,مليار دولار
2018,1.3,مليار دولار
2019,1.5,مليار دولار
2020,1.4,مليار دولار
2021,2.7,مليار دولار
2022,446.8,مليون دولار
