Year,Export Amount,Export Value
2012,1.6,مليون دولار
2013,2.4,مليون دولار
2014,1.6,مليون دولار
2015,1.1,مليون دولار
2016,730.4,ألف دولار
2017,1.3,مليون دولار
2018,1.3,مليون دولار
2019,1.8,مليون دولار
2020,2.8,مليون دولار
2021,4.0,مليون دولار
2022,657.3,ألف دولار
