Year,Export Amount,Export Value
2012,83.0,مليون دولار
2013,64.1,مليون دولار
2014,96.4,مليون دولار
2015,80.9,مليون دولار
2016,96.2,مليون دولار
2017,112.4,مليون دولار
2018,121.0,مليون دولار
2019,132.3,مليون دولار
2020,115.5,مليون دولار
2021,192.6,مليون دولار
2022,34.4,مليون دولار
