Year,Export Amount,Export Value
2012,13.0,مليون دولار
2013,10.5,مليون دولار
2014,10.4,مليون دولار
2015,6.8,مليون دولار
2016,8.1,مليون دولار
2017,10.5,مليون دولار
2018,9.3,مليون دولار
2019,8.8,مليون دولار
2020,12.9,مليون دولار
2021,11.9,مليون دولار
2022,2.4,مليون دولار
