Year,Export Amount,Export Value
2012,218.0,مليون دولار
2013,192.8,مليون دولار
2014,43.0,مليون دولار
2015,55.5,مليون دولار
2016,46.6,مليون دولار
2017,48.2,مليون دولار
2018,40.0,مليون دولار
2019,26.1,مليون دولار
2020,98.8,مليون دولار
2021,38.3,مليون دولار
2022,6.5,مليون دولار
