Year,Export Amount,Export Value
2012,25.8,مليون دولار
2013,31.7,مليون دولار
2014,36.5,مليون دولار
2015,16.1,مليون دولار
2016,11.6,مليون دولار
2017,2.4,مليون دولار
2018,11.8,مليون دولار
2019,6.4,مليون دولار
2020,4.4,مليون دولار
2021,10.9,مليون دولار
2022,1.5,مليون دولار
