Year,Export Amount,Export Value
2012,392.4,مليون دولار
2013,397.4,مليون دولار
2014,483.7,مليون دولار
2015,335.1,مليون دولار
2016,329.2,مليون دولار
2017,455.7,مليون دولار
2018,458.5,مليون دولار
2019,567.2,مليون دولار
2020,437.4,مليون دولار
2021,717.4,مليون دولار
2022,106.5,مليون دولار
