Year,Export Amount,Export Value
2012,0.0,
2013,0.0,
2014,0.0,
2015,0.0,
2016,0.0,
2017,2.9,مليار دولار
2018,1.9,مليار دولار
2019,2.0,مليار دولار
2020,2.8,مليار دولار
2021,1.2,مليار دولار
2022,372.5,مليون دولار
