Year,Export Amount,Export Value
2012,173.0,ألف دولار
2013,2.6,ألف دولار
2014,54.6,ألف دولار
2015,21.2,ألف دولار
2016,24.6,ألف دولار
2017,24.4,ألف دولار
2018,183.8,ألف دولار
2019,428.1,ألف دولار
2020,204.9,ألف دولار
2021,152.6,ألف دولار
2022,36.9,ألف دولار
